Wed Jul  9 19:43:54 2025 | IP: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Wed Jul  9 21:48:04 2025 | IP: 45.175.150.9 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1
Wed Jul  9 21:55:30 2025 | IP: 67.220.74.12 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1
Wed Jul  9 21:56:21 2025 | IP: 67.220.74.12 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1
Wed Jul  9 22:01:00 2025 | IP: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Wed Jul  9 22:01:38 2025 | IP: 45.175.150.9 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1
Mon Jul 14 18:47:22 2025 | IP: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Mon Jul 14 18:48:46 2025 | IP: 179.40.69.114 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Mon Jul 14 18:49:21 2025 | IP: 177.230.31.7 | User-Agent: WhatsApp/2.2527.2 W
Mon Jul 14 18:49:30 2025 | IP: 181.42.211.255 | User-Agent: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36
Mon Jul 14 18:52:36 2025 | IP: 181.42.211.255 | User-Agent: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36
Mon Jul 14 19:07:09 2025 | IP: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Mon Jul 14 19:09:39 2025 | IP: 190.112.110.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Mon Jul 14 19:09:49 2025 | IP: 177.230.31.7 | User-Agent: WhatsApp/2.2527.2 W
Mon Jul 14 21:57:24 2025 | IP: 177.230.31.7 | User-Agent: WhatsApp/2.2527.2 W
Mon Jul 14 21:57:57 2025 | IP: 2806:269:48c:676:48f1:f529:7277:159e | User-Agent: WhatsApp/2.23.20.0
Mon Jul 14 21:57:57 2025 | IP: 2806:269:48c:676:48f1:f529:7277:159e | User-Agent: WhatsApp/2.23.20.0
Mon Jul 14 21:58:03 2025 | IP: 152.172.252.191 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
Mon Jul 14 22:15:53 2025 | IP: 152.172.252.191 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
Mon Jul 14 22:16:49 2025 | IP: 152.172.252.191 | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1
Tue Jul 15 17:56:48 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 17:57:00 2025 | IP: 177.230.31.7 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 17:59:38 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 17:59:47 2025 | IP: 177.230.31.7 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 18:08:55 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:09:34 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:10:39 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:20:47 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:21:14 2025 | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:21:22 2025 | IP: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:25:36 2025 | IP: 157.100.107.175 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 18:28:32 2025 | IP: 157.100.107.175 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 18:42:21 2025 | IPv4: 127.0.0.1 | IPv6: 2806:269:48c:676:f8dd:3c67:46f5:3722 | User-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
Tue Jul 15 18:43:18 2025 | IPv4: 127.0.0.1 | IPv6: None | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 18:43:24 2025 | IPv4: 127.0.0.1 | IPv6: None | User-Agent: WhatsApp/2.2527.2 W
Tue Jul 15 18:43:29 2025 | IPv4: 127.0.0.1 | IPv6: None | User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/137.0.7151.107 Mobile/15E148 Safari/604.1
Tue Jul 15 18:44:29 2025 | IPv4: 127.0.0.1 | IPv6: None | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
Tue Jul 15 20:35:39 2025 | IP: 200.63.248.162 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
